id;anfitrion;distrito;plazas;precio
1106495;6075016;Centro;3;$58.00
1112289;6104199;Puente de Vallecas;1;$24.00
1113817;6112385;Centro;2;$75.00
1114960;6119221;Centro;4;$70.00
1121429;6152491;Centro;2;$35.00
1121590;124972;Moncloa - Aravaca;2;$50.00
1126038;6191568;Salamanca;1;$17.00
1128626;6191686;Centro;2;$40.00
1129694;5870563;Centro;2;$85.00
1130775;1450378;Chamberí;1;$15.00
1130788;1450378;Chamberí;1;$26.00
1133140;641820;Centro;4;$510.00
1137823;6241052;Chamberí;4;$79.00
1143674;6270912;Centro;4;$85.00
1146228;6284655;Centro;3;$50.00
1149636;6053704;Ciudad Lineal;4;$80.00
1152829;6282893;Salamanca;4;$118.00
1153128;6319722;Chamberí;1;$44.00
1153242;6284734;Centro;2;$60.00
1159972;4599639;Centro;4;$150.00
1160005;4599639;Centro;3;$62.00
1161437;547389;Chamberí;1;$30.00
1162707;1706029;Chamberí;2;$32.00
1162859;6369472;Chamberí;2;$53.00
1168731;1703448;Villaverde;4;$69.00
1170520;6408401;Chamartín;1;$29.00
1170855;927343;Centro;4;$72.00
1172916;6420689;Latina;2;$22.00
1172982;6412103;Centro;3;$57.00
1174292;6427023;Villaverde;1;$78.00
1176241;6436336;Centro;2;$40.00
1177790;6443996;Centro;2;$45.00
1182242;6466920;Retiro;6;$91.00
1184735;3983613;Centro;4;$140.00
1185475;6483080;Centro;2;$80.00
1186878;6490189;Carabanchel;2;$21.00
1194316;2864064;Centro;4;$51.00
1198047;5795235;Centro;4;$70.00
1206122;4967875;Retiro;5;$94.00
1209383;4790263;Arganzuela;2;$35.00
1209661;3331390;Arganzuela;4;$84.00
1214008;4440463;Puente de Vallecas;2;$16.00
1216199;6636854;Centro;4;$90.00
1220946;6566447;Centro;6;$75.00
1230412;6711092;Centro;2;$200.00
1230570;6598518;Centro;3;$77.00
1234836;5542111;Centro;5;$60.00
1238018;6749419;Centro;4;$72.00
1239125;6754321;Chamberí;4;$150.00
1239334;6755278;Retiro;2;$25.00
1241739;596469;Centro;4;$90.00
1242828;4599639;Centro;3;$1,000.00
1248292;6566447;Centro;4;$75.00
1251520;6818751;Centro;2;$32.00
1254418;6832983;Arganzuela;2;$80.00
1254955;6730063;Arganzuela;4;$65.00
1255811;6774354;Arganzuela;8;$75.00
1256157;2067969;Centro;4;$85.00
1256570;6844474;Centro;2;$35.00
1259915;6861593;Chamberí;1;$55.00
1263062;4304796;Arganzuela;2;$36.00
1263329;4304796;Arganzuela;3;$38.00
1266548;4839888;Centro;4;$79.00
1266877;6282893;Centro;6;$153.00
1267730;6566447;Centro;6;$75.00
1272747;4839888;Centro;2;$75.00
1273055;6928584;Centro;4;$100.00
1274889;2833018;Chamberí;5;$85.00
1275293;4003806;Ciudad Lineal;3;$80.00
1275848;6944433;Centro;2;$28.00
1281843;6871745;Centro;2;$65.00
1283870;6072314;Centro;2;$50.00
1289823;142989;Vicálvaro;4;$52.00
1296584;7049661;Centro;3;$48.00
1297217;4190343;Centro;5;$65.00
1298830;7062138;Arganzuela;4;$52.00
1302691;5542111;Centro;5;$72.00
1302882;2991925;Centro;2;$29.00
1308138;6774514;Carabanchel;5;$51.00
1309325;7117225;Hortaleza;2;$26.00
1310289;7122460;Salamanca;6;$350.00
1316092;7149341;Centro;2;$30.00
1316794;7153063;Centro;4;$65.00
1320674;7170175;Centro;3;$59.00
1326972;7201628;Centro;2;$54.00
1330726;7218465;Centro;2;$45.00
1330947;4361819;Centro;4;$79.00
1331106;1470394;Centro;1;$28.00
1331817;7223907;Centro;3;$70.00
1334684;5919800;Chamberí;2;$75.00
1335588;7033920;Centro;2;$59.00
1336818;7249376;Chamartín;2;$75.00
1343630;2833018;Chamberí;1;$35.00
1344035;3105381;Tetuán;1;$25.00
1346145;7302534;Centro;1;$45.00
1346747;7306349;Centro;4;$69.00
1357593;852616;Centro;4;$55.00
1362092;7394119;Centro;2;$75.00
1362476;7375454;Centro;6;$85.00
1362727;7395294;Centro;2;$65.00
1375914;4147804;Centro;2;$68.00
1380233;7420783;Centro;2;$60.00
1383366;7489861;Centro;2;$41.00
1394721;2741468;Centro;3;$110.00
1398273;7552386;Centro;1;$60.00
1408400;7595958;Centro;3;$79.00
1409746;1714541;Ciudad Lineal;6;$55.00
1426027;5633658;Centro;6;$65.00
1430003;2564339;Centro;4;$75.00
1431541;7448200;Chamberí;7;$120.00
1434789;2564339;Centro;4;$90.00
1436362;4361819;Centro;1;$37.00
1443639;7751680;Centro;3;$69.00
1448440;4281126;Retiro;2;$30.00
1458472;5500409;Centro;5;$85.00
1458618;7820252;Centro;1;$30.00
1460247;7823688;Centro;8;$250.00
1463257;6019735;Centro;2;$60.00
1463482;7828783;Fuencarral - El Pardo;2;$59.00
1463763;7823688;Centro;8;$270.00
1465382;7850049;Centro;2;$55.00
1473278;7652350;Salamanca;6;$160.00
1485339;7943769;San Blas - Canillejas;2;$60.00
1491263;6191568;Salamanca;1;$13.00
1496514;4599639;Centro;4;$130.00
1496523;4599639;Centro;4;$1,000.00
1500875;4839888;Centro;3;$82.00
1516910;8099011;Chamartín;1;$35.00
1522608;8125749;Centro;4;$150.00
1523675;8130428;Centro;2;$49.00
1529540;8158807;Villa de Vallecas;2;$35.00
1532354;7218465;Centro;2;$48.00
1536252;8192639;Centro;3;$36.00
1537588;4229531;Centro;1;$40.00
1547100;8231348;Latina;2;$35.00
1569343;8345477;Salamanca;4;$91.00
1577701;8385568;Centro;1;$22.00
1579108;6816328;Centro;4;$80.00
1581523;3275902;Moncloa - Aravaca;2;$110.00
1586115;8449261;Latina;1;$25.00
1592439;4043145;Arganzuela;1;$25.00
1593044;1706029;Chamberí;4;$100.00
1594104;3908006;Villa de Vallecas;2;$43.00
1595592;8508444;San Blas - Canillejas;2;$70.00
1596257;1666293;Centro;2;$65.00
1599909;7874554;Salamanca;2;$80.00
